dateRep,NEW_COVID_CASE_COUNT,cases,deaths
03/02/20,1,13,0
03/03/20,3,10,0
03/04/20,10,13,0
03/05/20,2,18,0
03/06/20,8,17,0
03/07/20,14,9,0
03/08/20,20,15,0
03/09/20,53,35,0
03/10/20,75,49,0
03/11/20,156,73,1
03/12/20,358,75,1
3/13/20,621,138,0
3/14/20,642,151,2
3/15/20,1027,186,6
3/16/20,2106,305,9
3/17/20,2388,345,7
3/18/20,2893,438,21
3/19/20,3577,517,25
3/20/20,3818,609,45
3/21/20,2477,647,36
3/22/20,2413,687,45
3/23/20,3287,981,80
3/24/20,4133,1049,90
3/25/20,4488,1215,112
3/26/20,4627,1319,170
3/27/20,4680,1283,183
3/28/20,3137,1227,232
3/29/20,3184,1290,252
3/30/20,5633,1562,275
3/31/20,4922,1437,324
04/01/20,4684,1439,363
04/02/20,5206,1617,392
04/03/20,4899,1627,410
04/04/20,3230,1340,398
04/05/20,3184,1290,447
04/06/20,5024,1394,427
04/07/20,3876,913,419
04/08/20,2507,368,321
04/09/20,967,3,238
04/10/20,74,0,32
