City Name,Zone Name,Ward Name,Ward No.,Area (in sq km),Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands),population - children aged 0-14 (in thousands),Population - youth aged 15-24 (in thousands),Population - adults aged 25-60 (in thousands),Population - Senior citizens aged 60+ (in thousands)
Bengaluru,Yelahanka,Kempegowda Ward,1,10.9,34783,18197,16586,3729,NA,NA,NA
Bengaluru,Yelahanka,Chowdeswari Ward,2,6.5,36602,19060,17542,4420,NA,NA,NA
Bengaluru,Yelahanka,Atturu,3,8.8,58129,30799,27330,6371,NA,NA,NA
Bengaluru,Yelahanka,Yelahanka Satellite Town,4,4.6,41986,21799,20187,4190,NA,NA,NA
Bengaluru,Yelahanka,Jakkuru,5,23.5,52025,27269,24756,6503,NA,NA,NA
Bengaluru,Yelahanka,Thanisandra,6,10,71855,37680,34175,9542,NA,NA,NA
Bengaluru,Yelahanka,Byatarayanapura,7,10,72154,37923,34231,7921,NA,NA,NA
Bengaluru,Yelahanka,Kodigehalli,8,3.8,47546,24954,22592,5431,NA,NA,NA
Bengaluru,Yelahanka,Vidyaranyapura,9,9.9,57195,29382,27813,5922,NA,NA,NA
Bengaluru,Yelahanka,Dodda Bommasandra,10,4.2,36396,20076,16320,3341,NA,NA,NA
Bengaluru,Yelahanka,Kuvempu Nagar,11,7.1,37128,18962,18166,4530,NA,NA,NA
Bengaluru,Dasarahalli,Shettihalli,12,8.1,61071,32175,28896,6797,NA,NA,NA
Bengaluru,Dasarahalli,Mallasandra,13,1.3,41482,21976,19506,4516,NA,NA,NA
Bengaluru,Dasarahalli,Bagalakunte,14,4.3,65113,34008,31105,7073,NA,NA,NA
Bengaluru,Dasarahalli,T Dasarahalli,15,0.9,33042,17783,15259,3431,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Jalahalli,16,5.2,37959,20285,17674,3447,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,J P Park,17,2,49610,25404,24206,5250,NA,NA,NA
Bengaluru,East,Radhakrishna Temple Ward,18,1.9,35122,18075,17047,3378,NA,NA,NA
Bengaluru,East,SanJayanagar,19,1.5,32491,16697,15794,3250,NA,NA,NA
Bengaluru,East,Ganga Nagar,20,2.3,27361,13973,13388,2842,NA,NA,NA
Bengaluru,East,Hebbala,21,1.2,32516,16791,15725,3342,NA,NA,NA
Bengaluru,East,Vishwanath Nagenahalli,22,1.5,51592,26928,24664,6024,NA,NA,NA
Bengaluru,East,Nagavara,23,2.1,60483,30930,29553,8309,NA,NA,NA
Bengaluru,East,HBR Layout,24,4.6,58967,30219,28748,7025,NA,NA,NA
Bengaluru,Mahadevapura,Horamavu,25,17.5,95368,49512,45856,11453,NA,NA,NA
Bengaluru,Mahadevapura,Ramamurthy Nagar,26,7.3,47358,24328,23030,6013,NA,NA,NA
Bengaluru,East,Banasavadi,27,3.4,51268,25932,25336,5199,NA,NA,NA
Bengaluru,East,Kammanahalli,28,1,47074,23710,23364,5026,NA,NA,NA
Bengaluru,East,Kacharkanahalli,29,1.7,33588,16820,16768,3199,NA,NA,NA
Bengaluru,East,Kadugondanahalli,30,0.7,45748,23145,22603,5917,NA,NA,NA
Bengaluru,East,Kushal Nagar,31,0.6,41936,21320,20616,5728,NA,NA,NA
Bengaluru,East,Kaval Bairasandra,32,1.6,39334,19877,19457,4420,NA,NA,NA
Bengaluru,East,Manorayana Palya,33,0.8,47926,24755,23171,5951,NA,NA,NA
Bengaluru,East,Gangenahalli,34,1.1,24308,12417,11891,2420,NA,NA,NA
Bengaluru,West,Aramane Nagara,35,7.5,36738,19369,17369,2525,NA,NA,NA
Bengaluru,West,Mattikere,36,0.9,37036,19134,17902,3761,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Yeshwanthpura,37,0.8,41107,21293,19814,4140,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,HMT Ward,38,5.2,36879,19332,17547,3864,NA,NA,NA
Bengaluru,Dasarahalli,Chokkasandra,39,3.8,59289,32904,26385,5953,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Dodda Bidarakallu,40,12.9,72794,38471,34323,8580,NA,NA,NA
Bengaluru,Dasarahalli,Peenya Industrial Area,41,5.5,57814,31652,26162,5942,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Lakshmi Devi Nagar,42,1.5,41352,21707,19645,4833,NA,NA,NA
Bengaluru,West,Nandini Layout,43,1.4,51200,26617,24583,5375,NA,NA,NA
Bengaluru,West,Marappana Palya,44,2,40212,20754,19458,4199,NA,NA,NA
Bengaluru,West,Malleshwaram,45,1.8,34196,17527,16669,3017,NA,NA,NA
Bengaluru,East,Jayachamarajendra Nagar,46,0.9,31449,16046,15403,3197,NA,NA,NA
Bengaluru,East,Devara Jeevanahalli,47,1.4,42135,21936,20199,5872,NA,NA,NA
Bengaluru,East,Muneshwara Nagar,48,0.5,35814,18235,17579,4885,NA,NA,NA
Bengaluru,East,Lingarajapura,49,0.9,37955,19056,18899,4176,NA,NA,NA
Bengaluru,East,Benniganahalli,50,4.9,49094,26406,22688,5724,NA,NA,NA
Bengaluru,Mahadevapura,Vijnanapura,51,2.1,46159,23667,22492,5391,NA,NA,NA
Bengaluru,Mahadevapura,KR Puram,52,4.8,35168,18081,17087,3770,NA,NA,NA
Bengaluru,Mahadevapura,Basavanapura,53,6.3,48585,25140,23445,5977,NA,NA,NA
Bengaluru,Mahadevapura,Hudi,54,15,50191,28201,21990,6128,NA,NA,NA
Bengaluru,Mahadevapura,Devasandra,55,3.5,33946,18302,15644,4051,NA,NA,NA
Bengaluru,Mahadevapura,A Narayanapura,56,2.1,43443,22637,20806,5198,NA,NA,NA
Bengaluru,East,C.V. Raman Nagar,57,3.6,58815,30553,28262,7422,NA,NA,NA
Bengaluru,East,New Tippa Sandra,58,3.4,43983,22819,21164,4310,NA,NA,NA
Bengaluru,East,Maruthi Seva Nagar,59,2.4,40362,19936,20426,3932,NA,NA,NA
Bengaluru,East,Sagayara Puram,60,0.8,35334,17533,17801,4147,NA,NA,NA
Bengaluru,East,SK Garden,61,1.3,38050,19413,18637,5122,NA,NA,NA
Bengaluru,East,Ramaswamy Palya,62,0.8,34394,17305,17089,3947,NA,NA,NA
Bengaluru,East,Jaya Mahal,63,1.4,21728,10720,11008,2062,NA,NA,NA
Bengaluru,West,Raj Mahal Guttahalli,64,0.7,31118,15502,15616,2679,NA,NA,NA
Bengaluru,West,Kadu Malleshwar Ward,65,1.4,35609,17558,18051,2485,NA,NA,NA
Bengaluru,West,Subramanya Nagar,66,0.9,35709,17893,17816,2999,NA,NA,NA
Bengaluru,West,Nagapura,67,1.8,34574,17397,17177,2666,NA,NA,NA
Bengaluru,Yelahanka,Kempegowda Ward,68,0.9,44615,23091,21524,4497,NA,NA,NA
Bengaluru,Yelahanka,Chowdeswari Ward,69,1.6,57077,29828,27249,6299,NA,NA,NA
Bengaluru,Yelahanka,Atturu,70,2.2,61479,33139,28340,6850,NA,NA,NA
Bengaluru,Yelahanka,Yelahanka Satellite Town,71,1.8,66314,35787,30527,7437,NA,NA,NA
Bengaluru,Yelahanka,Jakkuru,72,7.8,62272,33066,29206,7339,NA,NA,NA
Bengaluru,Yelahanka,Thanisandra,73,5.8,68922,36138,32784,7734,NA,NA,NA
Bengaluru,Yelahanka,Byatarayanapura,74,0.7,43844,22480,21364,4423,NA,NA,NA
Bengaluru,Yelahanka,Kodigehalli,75,1.1,48734,25246,23488,5112,NA,NA,NA
Bengaluru,Yelahanka,Vidyaranyapura,76,0.6,33236,16934,16302,2742,NA,NA,NA
Bengaluru,Yelahanka,Dodda Bommasandra,77,0.7,33388,17100,16288,2894,NA,NA,NA
Bengaluru,Yelahanka,Kuvempu Nagar,78,1.7,28835,14431,14404,2808,NA,NA,NA
Bengaluru,Dasarahalli,Shettihalli,79,3.6,37291,18906,18385,3851,NA,NA,NA
Bengaluru,Dasarahalli,Mallasandra,80,2.1,35228,17474,17754,3315,NA,NA,NA
Bengaluru,Dasarahalli,Bagalakunte,81,5.7,57062,29816,27246,7512,NA,NA,NA
Bengaluru,Dasarahalli,T Dasarahalli,82,6.8,49631,27919,21712,6038,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Jalahalli,83,11.2,43942,23604,20338,5368,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,J P Park,84,12.6,50556,26388,24168,6140,NA,NA,NA
Bengaluru,East,Radhakrishna Temple Ward,85,12,63083,32888,30195,8852,NA,NA,NA
Bengaluru,East,SanJayanagar,86,3.1,39768,22555,17213,4167,NA,NA,NA
Bengaluru,East,Ganga Nagar,87,6.8,39926,20925,19001,5062,NA,NA,NA
Bengaluru,East,Hebbala,88,1.9,38251,19425,18826,3973,NA,NA,NA
Bengaluru,East,Vishwanath Nagenahalli,89,0.9,33793,16989,16804,3216,NA,NA,NA
Bengaluru,East,Nagavara,90,1.7,35090,19627,15463,3005,NA,NA,NA
Bengaluru,East,HBR Layout,91,0.8,32689,16493,16196,3421,NA,NA,NA
