City Name,Zone Name,Ward Name,Ward No.,Total no. of Households,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Kempegowda Ward,1,8647,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Chowdeswari Ward,2,9506,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Atturu,3,14605,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Yelahanka Satellite Town,4,10583,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Jakkuru,5,12387,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Thanisandra,6,16470,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Byatarayanapura,7,18691,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Kodigehalli,8,12036,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Vidyaranyapura,9,14448,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Dodda Bommasandra,10,8379,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Kuvempu Nagar,11,8519,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Shettihalli,12,15530,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Mallasandra,13,11221,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Bagalakunte,14,17117,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,T Dasarahalli,15,8849,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Jalahalli,16,9191,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,J P Park,17,12553,,,,,,,,,,,,,,,
Bengaluru,East,Radhakrishna Temple Ward,18,9058,,,,,,,,,,,,,,,
Bengaluru,East,SanJayanagar,19,8153,,,,,,,,,,,,,,,
Bengaluru,East,Ganga Nagar,20,6592,,,,,,,,,,,,,,,
Bengaluru,East,Hebbala,21,8181,,,,,,,,,,,,,,,
Bengaluru,East,Vishwanath Nagenahalli,22,12704,,,,,,,,,,,,,,,
Bengaluru,East,Nagavara,23,12295,,,,,,,,,,,,,,,
Bengaluru,East,HBR Layout,24,13612,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Horamavu,25,23999,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Ramamurthy Nagar,26,11674,,,,,,,,,,,,,,,
Bengaluru,East,Banasavadi,27,12922,,,,,,,,,,,,,,,
Bengaluru,East,Kammanahalli,28,11479,,,,,,,,,,,,,,,
Bengaluru,East,Kacharkanahalli,29,8700,,,,,,,,,,,,,,,
Bengaluru,East,Kadugondanahalli,30,9758,,,,,,,,,,,,,,,
Bengaluru,East,Kushal Nagar,31,8192,,,,,,,,,,,,,,,
Bengaluru,East,Kaval Bairasandra,32,9540,,,,,,,,,,,,,,,
Bengaluru,East,Manorayana Palya,33,10572,,,,,,,,,,,,,,,
Bengaluru,East,Gangenahalli,34,6058,,,,,,,,,,,,,,,
Bengaluru,West,Aramane Nagara,35,8825,,,,,,,,,,,,,,,
Bengaluru,West,Mattikere,36,9592,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Yeshwanthpura,37,10326,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,HMT Ward,38,9524,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Chokkasandra,39,16537,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Dodda Bidarakallu,40,19506,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Peenya Industrial Area,41,15805,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Lakshmi Devi Nagar,42,10620,,,,,,,,,,,,,,,
