,Ward No.,Ward Name,Total Population (in thousands)
0,1,Kempegowda Ward,34783
1,2,Chowdeswari Ward,36602
2,3,Atturu,58129
3,4,Yelahanka Satellite Town,41986
4,5,Jakkuru,52025
5,6,Thanisandra,71855
6,7,Byatarayanapura,72154
7,8,Kodigehalli,47546
8,9,Vidyaranyapura,57195
9,10,Dodda Bommasandra,36396
10,11,Kuvempu Nagar,37128
11,12,Shettihalli,61071
12,13,Mallasandra,41482
13,14,Bagalakunte,65113
14,15,T Dasarahalli,33042
15,16,Jalahalli,37959
16,17,J P Park,49610
17,18,Radhakrishna Temple Ward,35122
18,19,SanJayanagar,32491
19,20,Ganga Nagar,27361
20,21,Hebbala,32516
21,22,Vishwanath Nagenahalli,51592
22,23,Nagavara,60483
23,24,HBR Layout,58967
24,25,Horamavu,95368
25,26,Ramamurthy Nagar,47358
26,27,Banasavadi,51268
27,28,Kammanahalli,47074
28,29,Kacharkanahalli,33588
29,30,Kadugondanahalli,45748
30,31,Kushal Nagar,41936
31,32,Kaval Bairasandra,39334
32,33,Manorayana Palya,47926
33,34,Gangenahalli,24308
34,35,Aramane Nagara,36738
35,36,Mattikere,37036
36,37,Yeshwanthpura,41107
37,38,HMT Ward,36879
38,39,Chokkasandra,59289
39,40,Dodda Bidarakallu,72794
40,41,Peenya Industrial Area,57814
41,42,Lakshmi Devi Nagar,41352
42,43,Nandini Layout,51200
43,44,Marappana Palya,40212
44,45,Malleshwaram,34196
45,46,Jayachamarajendra Nagar,31449
46,47,Devara Jeevanahalli,42135
47,48,Muneshwara Nagar,35814
48,49,Lingarajapura,37955
49,50,Benniganahalli,49094
50,51,Vijnanapura,46159
51,52,KR Puram,35168
52,53,Basavanapura,48585
53,54,Hudi,50191
54,55,Devasandra,33946
55,56,A Narayanapura,43443
56,57,C.V. Raman Nagar,58815
57,58,New Tippa Sandra,43983
58,59,Maruthi Seva Nagar,40362
59,60,Sagayara Puram,35334
60,61,SK Garden,38050
61,62,Ramaswamy Palya,34394
62,63,Jaya Mahal,21728
63,64,Raj Mahal Guttahalli,31118
64,65,Kadu Malleshwar Ward,35609
65,66,Subramanya Nagar,35709
66,67,Nagapura,34574
67,68,Kempegowda Ward,44615
68,69,Chowdeswari Ward,57077
69,70,Atturu,61479
70,71,Yelahanka Satellite Town,66314
71,72,Jakkuru,62272
72,73,Thanisandra,68922
73,74,Byatarayanapura,43844
74,75,Kodigehalli,48734
75,76,Vidyaranyapura,33236
76,77,Dodda Bommasandra,33388
77,78,Kuvempu Nagar,28835
78,79,Shettihalli,37291
79,80,Mallasandra,35228
80,81,Bagalakunte,57062
81,82,T Dasarahalli,49631
82,83,Jalahalli,43942
83,84,J P Park,50556
84,85,Radhakrishna Temple Ward,63083
85,86,SanJayanagar,39768
86,87,Ganga Nagar,39926
87,88,Hebbala,38251
88,89,Vishwanath Nagenahalli,33793
89,90,Nagavara,35090
90,91,HBR Layout,32689
91,92,Horamavu,37506
92,93,Ramamurthy Nagar,22815
93,94,Banasavadi,31208
94,95,Kammanahalli,37693
95,96,Kacharkanahalli,38110
96,97,Kadugondanahalli,35721
97,98,Kushal Nagar,32913
98,99,Kaval Bairasandra,33084
99,100,Manorayana Palya,30333
100,101,Gangenahalli,30051
101,102,Aramane Nagara,50893
102,103,Mattikere,53532
103,104,Yeshwanthpura,26873
104,105,HMT Ward,28355
105,106,Chokkasandra,24181
106,107,Dodda Bidarakallu,36461
107,108,Peenya Industrial Area,33866
108,109,Lakshmi Devi Nagar,33292
109,110,Nandini Layout,27504
110,111,Marappana Palya,22995
111,112,Malleshwaram,30638
112,113,Jayachamarajendra Nagar,38108
113,114,Devara Jeevanahalli,36916
114,115,Muneshwara Nagar,37060
115,116,Lingarajapura,48534
116,117,Benniganahalli,42095
117,118,Vijnanapura,28784
118,119,KR Puram,27076
119,120,Basavanapura,37344
120,121,Hudi,37354
121,122,Devasandra,40032
122,123,A Narayanapura,40331
123,124,C.V. Raman Nagar,37347
124,125,New Tippa Sandra,21171
125,126,Maruthi Seva Nagar,29319
126,127,Sagayara Puram,43729
127,128,SK Garden,35780
128,129,Ramaswamy Palya,68132
129,130,Jaya Mahal,58199
130,131,Raj Mahal Guttahalli,42785
131,132,Kadu Malleshwar Ward,41487
132,133,Subramanya Nagar,35113
133,134,Nagapura,49484
134,135,Kempegowda Ward,37599
135,136,Chowdeswari Ward,38639
136,137,Atturu,36039
137,138,Yelahanka Satellite Town,24801
138,139,Jakkuru,29344
139,140,Thanisandra,32213
140,141,Byatarayanapura,38825
141,142,Kodigehalli,34666
142,143,Vidyaranyapura,32462
143,144,Dodda Bommasandra,34879
144,145,Kuvempu Nagar,38309
145,146,Shettihalli,30667
146,147,Mallasandra,34299
147,148,Bagalakunte,47004
148,149,T Dasarahalli,54625
149,150,Jalahalli,80180
150,151,J P Park,38316
151,152,Radhakrishna Temple Ward,39997
152,153,SanJayanagar,38151
153,154,Ganga Nagar,32640
154,155,Hebbala,36982
155,156,Vishwanath Nagenahalli,41379
156,157,Nagavara,34653
157,158,HBR Layout,45928
158,159,Horamavu,40771
159,160,Ramamurthy Nagar,56897
160,161,Banasavadi,46805
161,162,Kammanahalli,43195
162,163,Kacharkanahalli,45572
163,164,Kadugondanahalli,43483
164,165,Kushal Nagar,25998
165,166,Kaval Bairasandra,27040
166,167,Manorayana Palya,32756
167,168,Gangenahalli,28353
168,169,Aramane Nagara,32066
169,170,Mattikere,33927
170,171,Yeshwanthpura,48991
171,172,HMT Ward,42624
172,173,Chokkasandra,33521
173,174,Dodda Bidarakallu,63033
174,175,Peenya Industrial Area,43585
175,176,Lakshmi Devi Nagar,52250
176,177,Nandini Layout,28846
177,178,Marappana Palya,31034
178,179,Malleshwaram,25871
179,180,Jayachamarajendra Nagar,42171
180,181,Devara Jeevanahalli,47182
181,182,Muneshwara Nagar,41037
182,183,Lingarajapura,43364
183,184,Benniganahalli,57209
184,185,Vijnanapura,46943
185,186,KR Puram,38294
186,187,Basavanapura,49207
187,188,Hudi,49884
188,189,Devasandra,68554
189,190,A Narayanapura,65890
190,191,C.V. Raman Nagar,71004
191,192,New Tippa Sandra,80037
192,193,Maruthi Seva Nagar,58355
193,194,Sagayara Puram,51911
194,195,SK Garden,57335
195,196,Ramaswamy Palya,45608
196,197,Jaya Mahal,62057
